"id","name","team","height","weight","year","position","hometown","state","country","latitude","longitude","formatted_height","stars"
4683554,"Darren Barkins","Washington","71.0","169.0","3","CB","Spring Valley","CA","USA","32.729571","-116.966890","5'11""","3"
4683643,"Barryn Sorrell","Texas","76.0","260.0","4","LB","New Orleans","LA","USA","29.975998","-90.078213","6'4""","3"
4684069,"Maurice Heims","Washington","77.0","263.0","3","EDGE","Hamburg",NULL,"Germany","53.550341","10.000654","6'5""","3"
4685092,"Ryan Watts","Texas","75.0","213.0","4","DB","Little Elm","TX","USA","33.162619","-96.937505","6'3""","4"
4685240,"Malik Agbo","Texas","76.0","300.0","2","OL","Federal Way","WA","USA","47.313494","-122.339310","6'4""","4"
4685241,"BJ Allen Jr.","Texas","72.0","191.0","2","S","Aledo","TX","USA","32.697994","-97.603994","6'0""","4"
4685243,"Jeremiah Alexander","Alabama","74.0","232.0","2","LB","Alabaster","AL","USA","33.244281","-86.816377","6'2""","5"
4685260,"Kelvin Banks Jr.","Texas","76.0","320.0","3","OL","Humble","TX","USA","29.998831","-95.262155","6'4""","5"
4685261,"Germie Bernard","Washington","73.0","209.0","3","WR","Henderson","NV","USA","36.031984","-114.982249","6'1""","4"
4685263,"Tyler Booker","Alabama","77.0","325.0","3","OL","New Haven","CT","USA","41.308214","-72.925052","6'5""","0"
4685279,"Jaydon Blue","Texas","72.0","200.0","3","RB","Houston","TX","USA","29.758938","-95.367697","6'0""","4"
4685287,"Jihaad Campbell","Alabama","75.0","244.0","3","LB","Erial","NJ","USA","39.773448","-75.006278","6'3""","5"
4685297,"Darrius Clemons","Michigan","75.0","211.0","3","WR","Portland","OR","USA","45.520247","-122.674194","6'3""","4"
4685311,"Jayden Denegal","Michigan","77.0","235.0","3","QB","Apple Valley","CA","USA","34.500831","-117.185876","6'5""","3"
4685322,"Tristan Dunn","Washington","76.0","191.0","2","S","Sumner","WA","USA","47.206188","-122.231238","6'4""","3"
4685331,"Justice Finkley","Texas","74.0","250.0","3","LB","Trussville","AL","USA","33.619627","-86.608434","6'2""","4"
4685375,"Jaylon Guilbeau","Texas","72.0","190.0","3","DB","Port Arthur","TX","USA","29.871658","-93.933230","6'0""","4"
